id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
1,0,0,0,0.0,0.0,705411.7239518295,413426.0607970071
1,1,0,1,134.27320483144172,107.87869659629581,705370.5017046761,413553.8497631792
1,2,0,2,93.27529759123648,134.99999999919098,705304.546109233,413619.8053586241
1,3,0,3,111.60499957375572,85.76360520157692,705312.7905586623,413731.10542593524
1,4,0,4,70.07782015916618,61.92751306369914,705345.7683563847,413792.93879666366
1,5,0,5,81.8238242912803,139.0856167793178,705283.9349856563,413846.52771796286
1,6,0,6,219.44797910423463,61.99082329177605,705386.9906035382,414040.2722795792
1,7,0,7,78.43067416594165,356.9872124962458,705465.3128731269,414036.1500548646
1,8,0,8,81.8238242900604,40.91438321969658,705527.1462438554,414089.7389761619
1,9,0,9,140.8812136243714,339.4439547805052,705659.0574347433,414040.2722795792
1,10,0,10,75.22354211960953,350.5376777922076,705733.2574796192,414027.9056054335
1,11,0,11,113.1924175846411,33.11134196020035,705828.0686480701,414089.7389761619
1,12,0,12,168.25545810018542,149.03624346803525,705683.7907830365,414176.3056951817
1,13,0,13,84.58097959863936,133.02506598942549,705626.0796370227,414238.13906591013
1,14,0,14,84.98183956846658,112.83365417797846,705593.1018393002,414316.4613355007
1,15,0,15,83.46868878400616,110.22485943047349,705564.2462662943,414394.7836050913
1,16,0,16,111.98499726721762,96.34019174685707,705551.8795921467,414506.0836724024
1,17,0,17,150.05124457626178,105.94539590062976,705510.6573449951,414650.361537436
1,18,0,18,110.9942973185794,121.32869286791129,705452.9461989813,414745.1727058869
