id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
1,0,0,0,0.0,0.0,706301.3559476949,411278.4557108813
1,1,0,1,1223.5966800875099,141.7098368077092,705340.9760015309,412036.65040522255
1,2,0,2,995.967608295437,125.70669140068446,704759.6934025362,412845.39141251706
1,3,0,3,947.3220550061525,80.78897345917433,704911.3323414046,413780.4982022047
1,4,0,4,1599.4134598773974,95.44033203102133,704759.6934025362,415372.70706031844
1,5,0,5,831.3293560954236,160.4633450618677,703976.2255517188,415650.7117815763
1,6,0,6,833.6311492129505,104.03624346795753,703774.0402998943,416459.45278887264
1,7,0,7,411.4171802016497,132.51044707808052,703496.0355786365,416762.7306666076
1,8,0,8,600.7360715614977,75.37912601134593,703647.6745175049,417344.0132656023
1,9,0,9,799.2073813236293,108.43494882296424,703394.9429527242,418102.2079599425
