id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
1,0,0,0,0.0,0.0,706948.8565399989,409236.90530029655
1,1,0,1,465.38576044746156,120.87208336302663,706710.0563512724,409636.35288871266
1,2,0,2,308.54439769974346,140.7105931374023,706471.2561625447,409831.7348613087
1,3,0,3,160.11846955437284,102.5288077092961,706436.5215896387,409988.04043938406
1,4,0,4,160.6473996891464,71.07535558378717,706488.6234489977,410140.0041958466
1,5,0,5,159.29219843909553,72.55281157704651,706536.3834867422,410291.9679523092
1,6,0,6,655.0253457712769,104.58891873274072,706371.3942654412,410925.8739078399
1,7,0,7,223.2979902879885,116.56505117729172,706271.5323683359,411125.5977020487
1,8,0,8,553.2543936311432,121.19509758785296,705984.9721418638,411598.8562578894
1,9,0,9,314.1151153590592,130.51539399042719,705780.9065260421,411837.6564466171
1,10,0,10,304.3304150214243,137.89126959618056,705555.1318021547,412041.7220624387
1,11,0,11,558.4939670972004,149.64737527240013,705073.1896030866,412323.94046729803
