id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
1,0,0,0,0.0,0.0,703379.030512975,415101.9870289982
1,1,0,1,98.03589780672283,10.007979801859117,703475.5746533088,415119.0242302343
1,2,0,2,106.09372840094301,15.524110995892729,703577.797860723,415147.4195656255
1,3,0,3,130.74194249540272,2.4895529222118973,703708.4164035283,415153.09863270447
1,4,0,4,66.28957793445187,316.7357045890663,703756.6884736959,415107.66609607637
1,5,0,5,66.47177592639444,19.983106522037147,703819.158211559,415130.3823643904
1,6,0,6,67.73344048587039,33.023867554871906,703875.9488823451,415167.29630040005
1,7,0,7,347.79359785592834,346.3041234956937,704213.8533735164,415084.9498277623
1,8,0,8,83.12610160102463,352.1466866985919,704296.1998461541,415073.5916936062
1,9,0,9,82.3464726395905,0.0,704378.5463187937,415073.5916936062
1,10,0,10,85.18600617721677,0.0,704463.7323249709,415073.5916936062
1,11,0,11,77.5041823832964,8.426969020723943,704540.3997305315,415084.9498277623
1,12,0,12,63.81057995108492,327.7243556855712,704594.3508677762,415050.8754252922
1,13,0,13,68.67915383673567,330.25511870286505,704653.9810721017,415016.8010228202
1,14,0,14,102.57753501694468,355.23635830884183,704756.204279514,415008.2824222017
