id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
1,0,0,0,0.0,0.0,702469.3481830033,411551.5449162152
1,1,0,1,95.2085266674055,109.29004621891598,702437.8960057814,411641.40827970766
1,2,0,2,94.78348648104952,95.44033203164602,702428.9096694309,411735.7648113761
1,3,0,3,85.84185744440245,132.87890360392421,702370.4984831605,411798.6691658199
1,4,0,4,84.77692756709492,57.994616792450266,702415.4301649071,411870.55985661596
1,5,0,5,89.86336349137127,90.0,702415.4301649071,411960.42322010733
1,6,0,6,110.15137179245623,101.76828893150687,702392.9643240348,412068.2592562996
1,7,0,7,104.21825853559905,97.43140797108421,702379.484819511,412171.6021243166
1,8,0,8,129.68064884351807,75.96375653187393,702410.9369967338,412297.410833206
1,9,0,9,84.41896568137363,64.79887635526508,702446.88234213,412373.79469217546
