id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
1,0,0,0,0.0,0.0,703183.1602005108,417806.6487881098
1,1,0,1,118.01249457196312,167.2756443147199,703068.0459745489,417832.6423230041
1,2,0,2,67.76250003804383,99.46232220724886,703056.9058881663,417899.48284130543
1,3,0,3,63.562521028657635,83.29016319263543,703064.3326124214,417962.6099974774
1,4,0,4,129.16950310989688,108.43494882239946,703023.4856290165,418085.1509476956
1,5,0,5,74.26724255643785,143.13010235559298,702964.0718349703,418129.71129322797
1,6,0,6,128.04370468583264,119.5387822589538,702900.9446787983,418241.11215706356
1,7,0,7,91.7132790712637,121.75948008556662,702852.6709711365,418319.0927617457
1,8,0,8,84.75906659591786,118.81079374225594,702811.8239877317,418393.3600043021
1,9,0,9,97.18798758238086,96.5819446557654,702800.6839013472,418489.90741962567
