id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
1,0,0,0,0.0,0.0,702178.6741704559,412473.752452221
1,1,0,1,134.60281708645,36.25383773764193,702287.2185546104,412553.3516672682
1,2,0,2,156.54493709193494,56.30993247439837,702374.0540619325,412683.6049282532
1,3,0,3,236.59466774386075,113.42869280849708,702279.9822623339,412900.69369656034
1,4,0,4,263.00712183673494,97.90716270291381,702243.8008009493,413161.2002185304
1,5,0,5,212.82574073313597,54.6887865608783,702366.817769656,413334.8712331783
1,6,0,6,204.6732535866563,81.8698976457703,702395.762938764,413537.48741693236
1,7,0,7,147.59198210404983,101.30993247416203,702366.817769656,413682.21326247044
1,8,0,8,155.36978421897334,62.24145939932387,702439.180692425,413819.70281573385
1,9,0,9,194.84313251854363,74.93151184016197,702489.8347383644,414007.846414933
1,10,0,10,134.60281708623722,53.74616226315196,702569.43395341,414116.3907990884
